NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop
0,2.09,0.00,6.90
1,1.83,0.00,6.92
2,1.85,0.00,6.92
3,1.80,0.00,6.92
4,2.09,0.00,6.92
5,2.02,0.00,6.92
6,1.90,0.00,6.92
7,2.09,0.00,6.90
8,2.00,0.00,6.88
9,1.85,0.00,6.92
10,2.06,0.00,6.93
11,1.93,0.00,6.93
12,2.21,0.00,6.92
13,1.99,0.00,6.94
14,2.34,0.00,6.92
15,2.22,0.00,6.92
16,1.85,0.00,6.92
17,2.34,0.00,6.94
18,2.12,0.00,6.92
19,2.05,0.00,6.95
20,2.06,0.00,6.94
21,2.08,0.00,6.93
22,2.18,0.00,6.95
23,1.84,0.00,6.92
24,2.05,0.00,6.93
25,2.05,0.00,6.94
26,1.88,0.00,6.93
27,2.00,0.02,6.95
28,1.98,0.01,6.94
29,1.73,0.01,6.95
30,2.07,0.04,6.93
31,2.18,0.02,6.94
32,1.93,0.02,6.94
33,2.01,0.01,6.91
34,1.87,0.02,6.92
35,1.98,0.02,6.92
36,2.08,0.00,6.93
37,2.00,0.01,6.92
38,2.03,0.00,6.90
39,2.04,0.01,6.94
40,2.03,0.03,6.91
41,1.97,0.00,6.90
42,1.67,0.01,6.89
43,1.99,0.01,6.91
44,1.99,0.03,6.90
45,2.07,0.01,6.88
46,1.68,0.00,6.91
47,1.79,0.00,6.88
48,1.85,0.02,6.88
49,1.89,0.01,6.89
50,1.79,0.01,6.88
51,2.00,0.02,6.88
52,1.93,0.00,6.89
53,1.85,0.03,6.89
54,1.78,0.01,6.88
55,1.94,0.01,6.89
56,1.77,0.04,6.93
57,1.99,0.02,6.90
58,2.05,0.04,6.90
59,1.88,0.01,6.91
60,1.86,0.01,6.90
61,1.99,0.06,6.91
62,1.94,0.03,6.93
63,1.92,0.01,6.92
64,1.92,0.03,6.92
65,1.83,0.07,6.93
66,1.95,0.04,6.91
67,2.05,0.04,6.91
68,1.78,0.03,6.92
69,1.92,0.04,6.91
70,1.97,0.04,6.92
71,1.84,0.03,6.91
72,1.94,0.02,6.89
73,1.80,0.04,6.87
74,2.05,0.01,6.89
75,1.97,0.06,6.89
76,2.14,0.03,6.88
77,2.10,0.07,6.86
78,2.03,0.04,6.91
79,1.89,0.06,6.88
80,1.71,0.03,6.91
81,2.12,0.06,6.88
82,1.84,0.04,6.87
83,1.85,0.05,6.90
84,1.88,0.05,6.88
85,2.07,0.05,6.88
86,1.76,0.09,6.88
87,2.11,0.07,6.89
88,2.06,0.02,6.88
89,1.98,0.01,6.91
90,2.05,0.03,6.89
91,1.88,0.03,6.91
92,1.67,0.03,6.89
93,1.72,0.07,6.89
94,1.96,0.00,6.91
95,1.69,0.02,6.90
96,2.20,0.06,6.88
97,2.15,0.04,6.91
98,1.92,0.05,6.89
99,1.98,0.04,6.89
100,1.82,0.06,6.89
101,1.94,0.04,6.89
102,1.73,0.02,6.91
103,2.11,0.06,6.88
104,1.94,0.02,6.90
105,2.03,0.05,6.89
106,1.86,0.03,6.87
107,1.82,0.02,6.88
108,1.69,0.04,6.87
109,1.68,0.01,6.88
110,1.85,0.01,6.86
111,1.77,0.04,6.89
112,1.97,0.01,6.86
113,1.74,0.02,6.87
114,1.66,0.01,6.88
115,1.75,0.03,6.88
116,2.04,0.05,6.88
117,1.94,0.04,6.86
118,2.06,0.01,6.87
119,1.53,0.07,6.86
120,1.94,0.02,6.88
121,1.63,0.03,6.86
122,1.81,0.04,6.84
123,1.79,0.04,6.87
124,1.81,0.05,6.85
125,1.61,0.04,6.83
126,1.68,0.09,6.86
127,1.89,0.02,6.83
128,1.60,0.03,6.84
129,1.92,0.07,6.85
130,1.83,0.02,6.86
131,1.66,0.06,6.86
132,1.83,0.06,6.86
133,1.79,0.05,6.86
134,1.70,0.01,6.86
135,1.93,0.01,6.87
136,1.74,0.01,6.86
137,1.70,0.05,6.86
138,1.80,0.04,6.85
139,2.03,0.01,6.86
140,1.57,0.01,6.84
141,1.95,0.04,6.85
142,1.76,0.08,6.86
143,1.64,0.05,6.86
144,1.68,0.03,6.85
145,2.01,0.00,6.83
146,1.95,0.04,6.85
147,1.89,0.04,6.86
148,1.94,0.02,6.86
149,1.95,0.04,6.86
150,1.70,0.03,6.86
