NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop
0,2.2700,0.7000,6.9402
1,2.3100,0.4800,6.9386
2,2.4900,0.5700,6.9073
3,2.2100,0.4700,6.9218
4,2.3100,0.6800,6.9171
5,2.2100,0.7900,6.9233
6,2.4600,0.4800,6.9122
7,2.6000,0.6900,6.8901
8,2.2500,0.6300,6.8926
9,1.8800,0.5400,6.8841
10,2.4600,0.4900,6.8910
11,2.2700,0.4500,6.8613
12,2.0000,0.5400,6.8526
13,2.1800,0.6800,6.8447
14,2.0100,0.7800,6.8537
15,2.0000,0.6900,6.8174
16,2.1300,0.5800,6.8123
17,2.1500,0.4900,6.8110
18,1.9900,0.5000,6.7903
19,2.2900,0.5800,6.7854
20,2.3000,0.4800,6.8109
21,2.1200,0.5000,6.7548
22,2.0700,0.7000,6.7709
23,1.9100,0.6500,6.7808
24,2.3300,0.6300,6.7707
25,2.2000,0.6000,6.7733
26,2.0800,0.6400,6.7684
27,2.1700,0.4700,6.7716
28,2.0700,0.5900,6.7794
29,1.8500,0.5600,6.7849
30,1.9000,0.6100,6.7929
31,1.9800,0.5900,6.7835
32,1.7800,0.4700,6.7744
33,2.1000,0.4900,6.7827
34,2.3900,0.6400,6.7759
35,1.8700,0.4700,6.7765
36,2.0200,0.4500,6.7772
37,2.0900,0.6200,6.7913
38,2.0500,0.5800,6.7830
39,1.8500,0.6500,6.7807
40,2.0700,0.5100,6.7913
41,2.0500,0.5100,6.7961
42,1.7900,0.5700,6.7904
43,2.0800,0.6500,6.7940
44,2.1000,0.6100,6.7834
45,2.0400,0.5400,6.7918
46,2.1400,0.6800,6.7793
47,1.9200,0.5600,6.8068
48,2.2400,0.6000,6.8140
49,2.4000,0.6200,6.8210
50,2.4000,0.5300,6.8561
51,1.7900,0.4400,6.8379
52,1.9400,0.5300,6.8286
53,2.3300,0.5600,6.8601
54,2.0300,0.6900,6.8514
55,2.1800,0.5100,6.8522
56,2.4200,0.5800,6.8785
57,2.1700,0.6700,6.8997
58,2.1000,0.5800,6.8762
59,2.3800,0.5900,6.9268
60,2.0900,0.5400,6.9113
61,1.9000,0.6000,6.9142
62,2.0700,0.5400,6.9102
63,2.2000,0.5400,6.9178
64,2.3400,0.7200,6.9442
65,2.3900,0.6600,6.9149
66,2.0000,0.5800,6.9605
67,2.3600,0.5400,6.9648
68,2.5500,0.6800,6.9525
69,2.2400,0.8400,6.9912
70,2.6000,0.6400,6.9986
71,2.4400,0.6200,7.0161
72,2.2400,0.5700,7.0130
73,2.4800,0.6300,7.0513
74,2.1800,0.6700,7.0522
75,2.4300,0.6200,7.0322
76,2.3000,0.6500,7.0075
77,2.3300,0.6300,7.0072
78,2.1900,0.6600,7.0019
79,2.2100,0.5500,6.9894
80,2.1800,0.6000,6.9931
81,2.2800,0.6200,6.9842
82,2.2000,0.5900,6.9774
83,2.4900,0.6500,6.9430
84,2.3000,0.6500,6.9515
85,2.6700,0.5000,6.9350
86,2.4000,0.7100,6.9342
87,2.2500,0.7000,6.9425
88,2.5100,0.6000,6.9210
89,2.2000,0.6100,6.9260
90,1.9800,0.5200,6.9132
91,2.1100,0.6800,6.8909
92,2.2200,0.5200,6.8925
93,1.9100,0.5300,6.8823
94,2.1400,0.5200,6.8814
95,2.0700,0.7200,6.8898
96,2.2400,0.5200,6.8729
97,1.9900,0.6400,6.8895
98,2.1000,0.4500,6.8452
99,2.0200,0.6300,6.8530
100,1.8500,0.6700,6.8731
101,2.0300,0.4500,6.8738
102,2.0700,0.6300,6.8596
103,2.1700,0.7000,6.8596
104,2.1500,0.7000,6.8515
105,2.1200,0.5200,6.8544
106,2.0000,0.6300,6.8423
107,2.0400,0.6400,6.8498
108,2.1200,0.6600,6.8635
109,2.0200,0.6200,6.8518
110,1.8900,0.6200,6.8820
111,2.3000,0.6800,6.8905
112,2.3900,0.6400,6.8512
113,2.3300,0.6200,6.8739
114,2.1200,0.5400,6.8683
115,2.0100,0.5700,6.8936
116,1.8200,0.5600,6.8724
117,1.8400,0.6400,6.8735
118,2.0700,0.6200,6.8867
119,1.9400,0.6800,6.8972
120,1.8800,0.5000,6.8828
121,2.1800,0.6300,6.8719
122,2.1800,0.4400,6.8894
123,2.0100,0.6200,6.8998
124,2.1200,0.5500,6.8716
125,2.2900,0.5600,6.8955
126,2.2800,0.6400,6.8998
127,2.0000,0.5400,6.8997
128,2.1500,0.6400,6.8884
129,2.2700,0.5200,6.9006
130,2.0400,0.7200,6.9016
131,1.8800,0.6400,6.9042
132,2.1800,0.4900,6.8890
133,2.1200,0.6200,6.9090
134,2.1100,0.5100,6.9058
135,2.4500,0.5800,6.9031
136,2.0500,0.6900,6.8980
137,1.8900,0.5600,6.9634
138,2.3400,0.7300,6.9242
139,2.1500,0.7200,6.9270
140,1.9700,0.5600,6.9518
141,2.4500,0.6700,6.9556
142,2.1100,0.5900,6.9427
143,2.3900,0.5800,6.9758
144,2.0000,0.5400,6.9708
145,2.4100,0.5600,6.9883
146,2.0900,0.4500,6.9904
147,2.1000,0.7200,7.0035
148,2.3400,0.6500,6.9985
149,2.0200,0.6000,7.0004
150,2.2800,0.6500,6.9980
