NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop
0,2.3800,0.6900,6.9395
1,2.2000,0.6700,6.9378
2,2.2600,0.5700,6.9364
3,2.0300,0.6200,6.8982
4,2.2100,0.5800,6.9066
5,2.3800,0.5100,6.9038
6,2.0600,0.5700,6.8801
7,2.2600,0.5600,6.8689
8,2.1800,0.7000,6.8718
9,2.3300,0.3900,6.8652
10,2.1600,0.5300,6.8678
11,2.2800,0.5000,6.8346
12,1.8500,0.4900,6.8443
13,1.9200,0.5200,6.8481
14,2.1000,0.5200,6.8445
15,1.8300,0.4900,6.8072
16,2.2500,0.5300,6.7867
17,2.1200,0.6400,6.8069
18,2.4600,0.4700,6.8142
19,2.2900,0.7000,6.7799
20,2.0400,0.5200,6.7818
21,2.1900,0.6500,6.7738
22,1.9800,0.6600,6.7629
23,2.0600,0.5800,6.7808
24,1.8700,0.4700,6.7554
25,2.2100,0.5700,6.7545
26,2.1100,0.4100,6.7485
27,1.9400,0.6400,6.7459
28,2.1500,0.6200,6.7429
29,1.8500,0.4600,6.7604
30,2.0400,0.6500,6.7464
31,1.7600,0.5500,6.7485
32,2.0400,0.5700,6.7628
33,1.8300,0.6700,6.7296
34,1.9500,0.6400,6.7253
35,1.8200,0.6500,6.7607
36,2.0900,0.6500,6.7207
37,1.8000,0.5700,6.7554
38,1.8400,0.5300,6.7322
39,1.8400,0.4500,6.7510
40,2.0900,0.6400,6.7453
41,2.1100,0.5100,6.7716
42,1.6900,0.5100,6.7681
43,2.0600,0.5100,6.7622
44,2.1500,0.5800,6.7490
45,1.9800,0.6600,6.7782
46,2.2700,0.6800,6.7934
47,2.1900,0.6900,6.7843
48,1.9600,0.5600,6.7836
49,2.1800,0.6300,6.7962
50,2.0700,0.5700,6.7815
51,2.1500,0.5900,6.7806
52,1.8300,0.6900,6.8163
53,1.9800,0.6100,6.7987
54,1.9400,0.5900,6.8229
55,2.3300,0.5200,6.8349
56,2.1900,0.6100,6.8325
57,2.2900,0.5300,6.8589
58,2.2300,0.6100,6.8488
59,2.1300,0.8800,6.8465
60,1.9500,0.6600,6.8419
61,2.2100,0.5700,6.8596
62,2.3600,0.7400,6.8662
63,2.2600,0.6500,6.8680
64,2.3900,0.4900,6.8614
65,2.2800,0.5600,6.8887
66,2.2200,0.7000,6.8929
67,2.1200,0.5500,6.8943
68,2.3000,0.5400,6.9018
69,2.4200,0.6600,6.9473
70,2.4500,0.6000,6.9478
71,2.2700,0.5600,6.9573
72,2.3600,0.5700,6.9654
73,2.2800,0.6700,6.9858
74,2.2600,0.5700,6.9340
75,2.3000,0.7100,6.9269
76,2.5300,0.5400,6.9305
77,2.1500,0.4900,6.9149
78,2.5200,0.6100,6.9184
79,2.1600,0.4900,6.8994
80,2.5100,0.6300,6.8931
81,2.1900,0.5300,6.9086
82,2.1900,0.5300,6.8712
83,2.0200,0.5800,6.8582
84,2.5900,0.5900,6.8522
85,2.2600,0.6100,6.8699
86,2.1200,0.6300,6.8516
87,2.2700,0.6500,6.8330
88,2.1600,0.5900,6.8385
89,2.1800,0.6500,6.8444
90,1.8700,0.5800,6.8336
91,2.1800,0.6000,6.8090
92,2.0200,0.5800,6.7907
93,1.9900,0.6300,6.7998
94,2.2500,0.5300,6.8038
95,2.0500,0.6500,6.8067
96,1.9200,0.7700,6.7834
97,1.9900,0.5600,6.7848
98,2.0900,0.6900,6.7728
99,1.8300,0.6000,6.7768
100,2.1700,0.6500,6.7479
101,2.0400,0.6000,6.7855
102,1.7800,0.5500,6.7799
103,2.0600,0.5900,6.7631
104,2.1200,0.5500,6.7756
105,2.0500,0.6800,6.7517
106,2.0000,0.6100,6.7610
107,1.9600,0.4900,6.8087
108,1.9500,0.5600,6.7730
109,2.3000,0.4900,6.7751
110,2.1500,0.6100,6.7531
111,1.9800,0.6000,6.7797
112,2.2500,0.5700,6.7593
113,2.0400,0.5900,6.7552
114,2.1100,0.6400,6.7860
115,2.0100,0.4900,6.7911
116,2.0400,0.5900,6.7742
117,2.2900,0.5600,6.7701
118,1.8400,0.7100,6.7614
119,2.2700,0.6300,6.7929
120,1.9800,0.6000,6.7671
121,1.9700,0.6000,6.7719
122,2.0400,0.5400,6.7859
123,1.8900,0.5900,6.7862
124,1.9900,0.7500,6.8081
125,1.8300,0.5700,6.7709
126,2.0000,0.5800,6.7792
127,2.3100,0.6000,6.7833
128,1.8800,0.6200,6.7911
129,1.9700,0.4900,6.8108
130,1.9200,0.5400,6.7936
131,1.8800,0.8100,6.8020
132,2.1600,0.5100,6.7922
133,2.0300,0.5700,6.8253
134,2.0900,0.6800,6.8309
135,2.0800,0.5600,6.8094
136,1.9000,0.5700,6.8339
137,2.2000,0.5800,6.8043
138,2.1000,0.6200,6.8123
139,2.1700,0.5000,6.8456
140,1.9800,0.5900,6.8343
141,2.2100,0.5100,6.8365
142,1.9700,0.5300,6.8327
143,2.2000,0.5600,6.8557
144,2.2300,0.7800,6.8649
145,2.0300,0.5900,6.8658
146,2.2900,0.6500,6.8621
147,2.2400,0.6200,6.8675
148,2.4800,0.6400,6.8706
149,2.0700,0.4800,6.8513
150,2.0100,0.5700,6.7706
