NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop
0,60.26,0.00,3.96
1,58.72,4.33,4.09
2,53.66,13.90,4.17
3,47.86,20.95,4.19
4,47.51,22.87,4.35
5,34.96,36.16,4.34
6,35.01,36.50,4.40
7,26.97,44.74,4.37
8,25.32,47.49,4.45
9,25.09,48.79,4.49
10,25.09,48.93,4.51
11,24.57,49.21,4.59
12,24.73,49.89,4.54
13,24.04,50.08,4.59
14,24.31,50.11,4.66
15,21.77,53.91,4.71
16,21.64,53.93,4.76
17,21.81,54.20,4.80
18,21.41,55.57,4.88
19,21.99,55.53,4.91
20,22.57,54.73,4.92
21,21.98,55.82,4.87
22,21.22,55.86,4.91
23,21.13,56.93,4.93
24,21.59,56.39,4.98
25,20.50,57.99,4.96
26,21.17,56.69,4.97
27,21.10,57.41,4.96
28,21.27,56.78,4.91
29,21.75,56.49,4.97
30,20.67,57.23,5.05
31,21.06,57.54,5.11
32,20.77,58.23,5.07
33,20.87,57.74,5.07
34,19.80,58.67,5.10
35,20.80,58.67,5.15
36,20.36,58.02,5.15
37,20.64,58.17,5.10
38,20.70,58.35,5.15
39,20.82,58.69,5.25
40,20.44,58.50,5.16
41,20.86,58.38,5.20
42,20.29,59.23,5.21
43,20.27,59.00,5.25
44,20.37,58.98,5.21
45,20.15,59.80,5.24
46,20.23,59.65,5.27
47,20.52,59.34,5.23
48,20.38,59.40,5.24
49,20.17,59.48,5.32
50,19.96,59.95,5.30
51,20.04,60.26,5.31
52,19.40,61.20,5.29
53,19.70,60.94,5.30
54,19.15,61.76,5.34
55,19.60,60.99,5.29
56,18.98,61.31,5.29
57,19.29,61.52,5.35
58,19.51,61.56,5.33
59,19.25,61.44,5.39
60,19.98,60.98,5.39
61,19.12,61.54,5.38
62,19.08,62.00,5.42
63,18.64,62.57,5.39
64,19.06,63.39,5.46
65,18.67,63.32,5.55
66,18.80,63.67,5.52
67,18.96,63.57,5.53
68,18.29,64.52,5.46
69,18.47,63.78,5.66
70,19.16,63.02,5.58
71,18.82,63.55,5.54
72,18.03,63.82,5.59
73,18.95,63.51,5.58
74,17.88,64.45,5.61
75,18.02,64.05,5.65
76,18.12,64.04,5.68
77,18.65,64.61,5.65
78,18.22,65.00,5.61
79,18.46,63.65,5.58
80,17.85,64.27,5.69
81,17.72,65.10,5.65
82,18.12,63.95,5.66
83,17.78,65.00,5.67
84,18.63,63.99,5.66
85,17.32,65.80,5.65
86,16.54,65.43,5.66
87,16.77,66.20,5.66
88,17.54,65.40,5.70
89,17.12,65.16,5.73
90,17.49,65.21,5.67
91,17.84,64.95,5.66
92,17.05,65.57,5.68
93,17.82,64.77,5.74
94,17.53,65.37,5.64
95,17.78,65.70,5.75
96,17.25,65.40,5.67
97,17.81,65.71,5.76
98,17.13,65.57,5.73
99,16.92,65.74,5.76
100,17.35,65.39,5.75
101,16.93,66.76,5.81
102,18.34,65.11,5.80
103,17.27,65.61,5.85
104,17.19,66.11,5.89
105,17.55,65.64,5.81
106,16.03,67.56,5.89
107,16.85,66.20,5.82
108,17.34,66.58,5.87
109,17.12,66.31,5.88
110,17.01,66.46,5.89
111,16.94,66.50,5.87
112,16.29,67.00,5.80
113,16.38,67.20,5.96
114,17.27,66.79,5.97
115,16.28,68.54,5.92
116,16.66,67.17,5.95
117,17.02,66.97,5.94
118,16.11,67.58,5.91
119,16.99,67.22,5.97
120,16.22,68.16,5.93
121,17.00,66.57,5.92
122,17.05,67.63,6.00
123,17.04,67.15,6.00
124,16.25,68.03,6.05
125,16.17,67.35,5.97
126,16.34,67.56,6.03
127,16.39,67.57,6.09
128,16.01,67.73,6.07
129,16.52,67.07,6.11
130,16.88,66.90,6.06
131,16.10,67.93,6.03
132,16.89,67.25,6.06
133,16.57,68.00,6.07
134,16.21,68.13,6.15
135,16.93,67.02,6.11
136,16.24,68.19,6.05
137,15.91,68.16,6.06
138,16.13,68.67,6.10
139,16.39,68.65,6.11
140,15.57,68.91,6.10
141,15.53,69.48,6.11
142,16.10,68.34,6.01
143,15.90,68.82,6.15
144,15.91,68.63,6.10
145,16.18,68.91,6.15
146,15.52,69.01,6.10
147,15.94,68.44,6.13
148,15.78,69.30,6.16
149,16.02,68.94,6.14
150,15.76,69.13,6.23
