NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop,Fallimento liq new
0,47.62,18.9,3.9247,58.72
1,48.04,19.78,3.9689,59.89
2,47.64,19.85,3.8942,59.44
3,48.38,19.9,3.9669,60.40
4,47.63,19.36,3.9761,59.06
5,48.21,19.62,3.9916,59.98
6,47.86,19.58,3.9564,59.51
7,47.37,19.9,3.9673,59.14
8,47.87,20.01,3.9701,59.84
9,46.45,21.37,3.95,59.07
10,46.67,20.45,3.9699,58.67
11,47.28,20.56,3.9649,59.52
12,46.44,21.11,3.9667,58.87
13,46.23,21.22,3.9905,58.68
14,45.85,21.45,3.9826,58.37
15,45.81,21.12,3.9843,58.08
16,46.84,20.85,3.9994,59.18
17,47.46,20.54,3.9547,59.73
18,47.22,20.96,3.9654,59.74
19,46.5,21.26,3.9532,59.06
20,47.65,20.68,3.9428,60.07
21,47.04,20.75,4.0096,59.36
22,47.53,20.68,3.9572,59.92
23,46.75,21.31,3.989,59.41
24,46.43,21.42,3.9726,59.09
25,46.13,21.12,3.9707,58.48
26,46.72,21.05,3.9711,59.18
27,46.69,20.98,3.9712,59.09
28,46.61,21.5,3.9724,59.38
29,46.84,20.93,3.9975,59.24
30,45.98,21.39,3.9488,58.49
31,46.38,20.82,3.9893,58.58
32,47.47,19.98,3.9693,59.32
33,46.73,20.94,3.9654,59.11
34,46.27,21.23,3.9972,58.74
35,46.81,20.87,3.9619,59.16
36,47.48,20.61,3.9909,59.81
37,46.12,21.19,3.9838,58.52
38,47.3,21.09,3.9734,59.94
39,47.09,20.58,3.9409,59.29
40,46.78,21.32,3.9687,59.46
41,47.08,20.3,3.9611,59.07
42,47,20.83,3.9857,59.37
43,46.25,21.94,3.939,59.25
44,46.84,20.86,3.9554,59.19
45,47.23,20.26,4.0062,59.23
46,46.69,19.76,3.9416,58.19
47,47.02,20.54,3.9504,59.17
48,46.5,20.99,3.9529,58.85
49,46.76,20.86,3.966,59.09
50,46.36,21.23,3.9219,58.85
51,46.4,21.61,3.9334,59.19
52,47.27,21.64,3.9926,60.32
53,45.98,20.85,3.9551,58.09
54,46.97,21.31,3.9502,59.69
55,46.18,21.2,3.9718,58.60
56,46.66,20.9,3.9923,58.99
57,46.68,21.44,3.9649,59.42
58,46.59,21.57,3.9494,59.40
59,46.66,21.09,3.9584,59.13
60,47.2,20.64,3.9462,59.48
61,46.99,20.86,3.9285,59.38
62,45.58,21.85,3.9932,58.32
63,47.26,20.12,3.9522,59.16
64,45.91,22.02,3.9722,58.87
65,46.11,21.25,3.9216,58.55
