NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop
0,1.76,0.00,6.92
1,1.80,0.00,6.91
2,2.03,0.00,6.93
3,1.96,0.00,6.91
4,2.05,0.00,6.92
5,2.12,0.00,6.90
6,2.12,0.00,6.93
7,1.96,0.00,6.88
8,1.88,0.00,6.89
9,2.09,0.00,6.91
10,2.01,0.00,6.89
11,2.23,0.00,6.91
12,1.91,0.00,6.91
13,1.88,0.00,6.91
14,2.28,0.00,6.91
15,2.17,0.00,6.92
16,2.14,0.00,6.90
17,1.94,0.00,6.91
18,2.19,0.00,6.92
19,2.32,0.00,6.92
20,2.20,0.00,6.91
21,2.08,0.00,6.94
22,1.98,0.00,6.93
23,2.15,0.00,6.92
24,1.99,0.00,6.92
25,1.94,0.00,6.90
26,2.03,0.00,6.90
27,2.07,0.00,6.90
28,2.20,0.00,6.91
29,1.80,0.00,6.92
30,1.92,0.00,6.90
31,1.86,0.00,6.89
32,2.16,0.00,6.89
33,1.89,0.00,6.90
34,2.06,0.00,6.89
35,1.74,0.00,6.87
36,2.17,0.00,6.88
37,1.81,0.00,6.88
38,1.83,0.00,6.87
39,2.05,0.00,6.89
40,2.00,0.00,6.90
41,1.99,0.00,6.88
42,1.81,0.00,6.84
43,1.67,0.00,6.86
44,2.05,0.00,6.85
45,1.85,0.00,6.85
46,1.83,0.00,6.85
47,1.86,0.00,6.85
48,1.66,0.00,6.85
49,1.81,0.00,6.84
50,1.76,0.00,6.83
51,2.09,0.00,6.83
52,1.90,0.00,6.82
53,1.85,0.00,6.84
54,1.90,0.00,6.84
55,1.68,0.00,6.86
56,1.42,0.00,6.83
57,1.86,0.00,6.85
58,1.92,0.00,6.85
59,1.94,0.00,6.84
60,1.78,0.00,6.84
61,2.01,0.00,6.85
62,1.91,0.00,6.85
63,1.87,0.00,6.86
64,1.89,0.00,6.85
65,1.96,0.00,6.85
66,1.90,0.00,6.85
67,1.92,0.00,6.82
68,1.85,0.00,6.84
69,1.98,0.00,6.84
70,2.02,0.00,6.86
71,1.89,0.00,6.85
72,2.15,0.00,6.84
73,1.90,0.00,6.84
74,1.90,0.00,6.84
75,1.66,0.00,6.81
76,1.71,0.00,6.83
77,1.74,0.00,6.79
78,1.69,0.00,6.81
79,1.90,0.00,6.82
80,1.77,0.00,6.80
81,1.75,0.00,6.81
82,1.77,0.00,6.81
83,2.00,0.00,6.81
84,1.81,0.00,6.81
85,1.77,0.00,6.81
86,1.92,0.00,6.82
87,1.95,0.00,6.81
88,1.88,0.00,6.82
89,1.72,0.00,6.80
90,1.69,0.01,6.84
91,1.67,0.03,6.81
92,1.89,0.04,6.80
93,1.92,0.02,6.80
94,2.04,0.00,6.80
95,1.82,0.01,6.80
96,1.80,0.01,6.81
97,1.90,0.02,6.81
98,1.60,0.00,6.83
99,1.91,0.02,6.83
100,1.84,0.01,6.78
101,1.66,0.00,6.81
102,1.67,0.00,6.79
103,1.90,0.02,6.81
104,1.89,0.01,6.79
105,2.09,0.03,6.80
106,1.58,0.00,6.79
107,2.01,0.01,6.80
108,1.68,0.04,6.77
109,1.66,0.05,6.80
110,1.93,0.04,6.78
111,1.77,0.02,6.78
112,1.96,0.00,6.81
113,1.64,0.01,6.76
114,1.68,0.03,6.79
115,1.87,0.04,6.78
116,1.87,0.00,6.77
117,1.61,0.04,6.77
118,1.77,0.03,6.79
119,1.80,0.03,6.77
120,1.95,0.04,6.78
121,1.69,0.04,6.75
122,1.73,0.02,6.75
123,1.56,0.03,6.75
124,1.58,0.01,6.76
125,1.87,0.03,6.73
126,1.65,0.03,6.73
127,1.47,0.04,6.75
128,1.48,0.04,6.76
129,1.47,0.03,6.75
130,1.73,0.02,6.75
131,1.46,0.02,6.76
132,1.57,0.01,6.74
133,1.71,0.03,6.75
134,1.83,0.01,6.76
135,1.86,0.03,6.74
136,1.78,0.03,6.77
137,1.52,0.01,6.75
138,1.71,0.04,6.77
139,1.73,0.01,6.74
140,1.73,0.02,6.73
141,1.52,0.02,6.76
142,1.54,0.04,6.74
143,1.72,0.03,6.75
144,1.64,0.03,6.75
145,1.76,0.01,6.75
146,1.74,0.01,6.73
147,1.82,0.04,6.73
148,1.63,0.01,6.73
149,1.43,0.01,6.74
150,2.08,0.00,6.88
