o,Fallimento per liquidità,Fallimento per path inesistente,Media hop,Fallimento liq new
0,2.38,0.69,6.9395,2.56
1,2.2,0.67,6.9378,2.36
2,2.26,0.57,6.9364,2.43
3,2.03,0.62,6.8982,2.18
4,2.21,0.58,6.9066,2.37
5,2.38,0.51,6.9038,2.56
6,2.06,0.57,6.8801,2.21
7,2.26,0.56,6.8689,2.43
8,2.18,0.7,6.8718,2.34
9,2.33,0.39,6.8652,2.50
10,2.16,0.53,6.8678,2.32
11,2.28,0.5,6.8346,2.45
12,1.85,0.49,6.8443,1.99
13,1.92,0.52,6.8481,2.06
14,2.1,0.52,6.8445,2.25
15,1.83,0.49,6.8072,1.96
16,2.25,0.53,6.7867,2.41
17,2.12,0.64,6.8069,2.27
18,2.46,0.47,6.8142,2.64
19,2.29,0.7,6.7799,2.46
20,2.04,0.52,6.7818,2.19
21,2.19,0.65,6.7738,2.35
22,1.98,0.66,6.7629,2.12
23,2.06,0.58,6.7808,2.21
24,1.87,0.47,6.7554,2.01
25,2.21,0.57,6.7545,2.37
26,2.11,0.41,6.7485,2.26
27,1.94,0.64,6.7459,2.08
28,2.15,0.62,6.7429,2.31
29,1.85,0.46,6.7604,1.98
30,2.04,0.65,6.7464,2.19
31,1.76,0.55,6.7485,1.89
32,2.04,0.57,6.7628,2.19
33,1.83,0.67,6.7296,1.96
34,1.95,0.64,6.7253,2.09
35,1.82,0.65,6.7607,1.95
36,2.09,0.65,6.7207,2.24
37,1.8,0.57,6.7554,1.93
38,1.84,0.53,6.7322,1.97
39,1.84,0.45,6.751,1.97
40,2.09,0.64,6.7453,2.24
41,2.11,0.51,6.7716,2.26
42,1.69,0.51,6.7681,1.81
43,2.06,0.51,6.7622,2.21
44,2.15,0.58,6.749,2.31
45,1.98,0.66,6.7782,2.12
46,2.27,0.68,6.7934,2.44
47,2.19,0.69,6.7843,2.35
48,1.96,0.56,6.7836,2.10
49,2.18,0.63,6.7962,2.34
50,2.07,0.57,6.7815,2.22
51,2.15,0.59,6.7806,2.31
52,1.83,0.69,6.8163,1.96
53,1.98,0.61,6.7987,2.12
54,1.94,0.59,6.8229,2.08
55,2.33,0.52,6.8349,2.50
56,2.19,0.61,6.8325,2.35
57,2.29,0.53,6.8589,2.46
58,2.23,0.61,6.8488,2.39
59,2.13,0.88,6.8465,2.29
60,1.95,0.66,6.8419,2.09
61,2.21,0.57,6.8596,2.37
62,2.36,0.74,6.8662,2.53
63,2.26,0.65,6.868,2.43
64,2.39,0.49,6.8614,2.57
65,2.28,0.56,6.8887,2.45
66,2.22,0.7,6.8929,2.38
67,2.12,0.55,6.8943,2.28
68,2.3,0.54,6.9018,2.47
69,2.42,0.66,6.9473,2.60
70,2.45,0.6,6.9478,2.63
71,2.27,0.56,6.9573,2.44
72,2.36,0.57,6.9654,2.54
73,2.28,0.67,6.9858,2.45
74,2.26,0.57,6.934,2.43
75,2.3,0.71,6.9269,2.47
76,2.53,0.54,6.9305,2.72
