Alias,Grado
9854,0
2452,0
9976,0
9525,0
7663,0
12092,0
685,0
17114,0
1662,0
12967,0
3880,0
8440,0
7249,0
11417,0
2425,0
13590,0
6847,0
2248,0
12874,0
7420,0
5236,0
4931,0
6160,0
11457,0
7096,0
8764,0
9158,0
6514,0
551,0
9639,0
3246,0
867,0
15441,0
146,0
13286,0
8711,0
10493,0
2237,0
3299,0
13956,0
5668,0
3859,0
1692,0
15695,0
7398,0
16183,0
15678,0
8921,0
15550,0
8240,0
15446,0
14218,0
9130,0
2660,0
4007,1
12161,1
855,1
4440,1
8706,1
7258,1
2137,1
4522,1
7648,1
8311,1
8318,1
11838,1
12982,1
11385,1
3846,1
1591,1
9700,1
7784,1
6705,1
5762,1
13072,1
8053,1
6499,1
8713,1
16651,1
16655,1
1768,1
1928,1
1579,1
3176,1
602,1
9452,1
8942,1
15378,1
9862,1
2926,1
11336,1
10841,1
10068,1
8933,1
1410,1
14093,1
10892,1
4469,1
7086,1
4952,1
14840,1
12978,1
3701,1
7503,1
11268,1
6728,1
7317,1
1954,1
4963,1
14928,1
1567,1
9286,1
16065,1
1429,1
5700,1
1249,1
13057,1
13173,1
7495,1
14391,1
15322,1
1090,1
8064,1
6729,1
8651,1
14870,1
8191,1
15963,1
13582,1
6400,1
14411,1
9371,1
4139,1
12414,1
3509,1
13155,1
2405,1
12490,1
5695,1
11756,1
2849,1
1618,1
14717,1
14322,1
5804,1
2955,1
1342,1
6003,1
2890,1
13445,1
6689,1
16049,1
1535,1
176,1
9067,1
3544,1
15876,1
13180,1
8549,1
2186,1
8027,1
6882,1
12097,1
16467,1
2202,1
11808,1
1039,1
13527,1
12467,1
3321,1
14768,1
2896,1
8136,1
588,1
818,1
5216,1
14239,1
8432,1
2827,1
4378,1
10408,1
1409,1
3241,1
5234,1
2757,1
6067,1
6591,1
11709,1
10188,1
13702,1
12046,1
1109,1
11551,1
16861,1
7216,1
10670,1
1498,1
9079,1
10275,1
11669,1
3487,1
13231,1
828,1
7101,1
9675,1
288,1
6640,1
9312,1
14125,1
5258,1
13260,1
10593,1
9820,1
16201,1
1646,1
4581,1
2376,1
10522,1
15884,1
10971,1
7134,1
6041,1
4950,1
7305,1
14994,1
6348,1
7863,1
10339,1
7815,1
12251,1
8473,1
2174,1
15086,1
16789,1
5940,1
12949,1
5074,1
15134,1
6682,1
11775,1
13921,1
5131,1
1684,1
15389,1
11236,1
3373,1
6200,1
15133,1
2996,1
9534,1
221,1
8264,1
15912,1
7435,1
3936,1
12970,1
12502,1
7940,1
14015,1
14235,1
2940,1
9892,1
15644,1
23,1
10718,1
14739,1
12552,1
15975,1
