Alias,Grado
1289,1
976,1
16866,1
1470,1
1584,1
1623,1
10820,1
15950,1
15913,1
12469,1
2809,1
7738,1
7867,1
8901,1
8051,1
12260,1
13108,1
4786,1
6689,1
1819,1
159,1
2763,1
11324,1
14740,1
9103,1
856,1
1678,1
11401,1
9669,1
9879,1
14058,1
271,1
8997,1
8203,1
8721,1
16562,1
4096,1
3311,1
5902,1
5562,1
11633,1
1654,1
645,1
701,1
10606,1
11978,1
13904,1
9884,1
14346,1
15992,1
16551,1
15463,1
10360,1
6011,1
2251,1
703,1
1677,1
13838,1
10950,1
16085,1
3244,1
13543,1
2740,1
2124,1
2179,1
4349,1
8001,1
10603,1
15405,1
12371,1
382,1
2441,1
4056,1
17061,1
10779,1
17273,1
7998,1
11444,1
9252,1
9901,1
14056,1
12645,1
14047,1
7188,1
4356,1
7095,1
8808,1
7214,1
9083,1
1387,1
16521,1
3279,1
12388,1
9572,1
10758,1
7607,1
14438,1
9383,1
6945,1
8856,1
9845,1
15389,1
3786,1
8749,1
477,1
482,1
8990,1
2222,1
4541,1
15779,1
12862,1
13233,1
13632,1
9176,1
7158,1
217,1
8218,1
10463,1
12732,1
17292,1
3596,1
4675,1
12049,1
16411,1
8969,1
13230,1
3408,1
2309,1
14649,1
10959,1
15689,1
16611,1
11136,1
7774,1
4913,1
3013,1
13172,1
3211,1
4954,1
11995,1
12929,1
13360,1
1126,1
3868,1
486,1
11388,1
12124,1
147,1
11951,1
7050,1
12318,1
10376,1
5442,1
1100,1
5445,1
8801,1
8671,1
14100,1
7058,1
12268,1
14080,1
15643,1
16477,1
2118,1
6021,1
9925,1
6236,1
11143,1
14098,1
2313,1
1496,1
16367,1
6994,1
11215,1
11353,1
11975,1
535,1
12058,1
12592,1
17286,1
16188,1
14780,1
14536,1
10394,1
11126,1
13383,1
9583,1
14291,1
11052,1
6089,1
15862,1
601,1
5583,1
225,1
12774,1
15192,1
8600,1
9180,1
15669,1
2557,1
12315,1
14717,1
243,1
15919,1
6505,1
12167,1
11499,1
8834,1
13338,1
16228,1
4579,1
1198,1
10999,1
6211,1
15103,1
2505,1
4733,1
15379,1
10614,1
1069,1
3943,1
9674,1
12143,1
767,1
3301,1
14958,1
16153,1
5252,1
11608,1
11829,1
8843,1
723,1
3131,1
14355,1
8179,1
9310,1
16225,1
8056,1
13327,1
12048,1
3722,1
2737,1
14359,1
8816,1
6504,1
1038,1
5132,1
5545,1
15461,1
12166,1
15811,1
5769,1
13425,1
2750,1
17099,1
12420,1
5432,1
12370,1
6131,1
17078,1
8443,1
10557,1
12903,1
4865,1
7743,1
6663,1
9702,1
9794,1
10161,1
5092,1
149,1
241,1
16077,1
3161,1
14534,1
1373,1
14128,1
6684,1
5076,1
11660,1
12466,1
14664,1
4878,1
2968,1
5406,1
17250,1
