NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop
0,60.58,0.00,3.98
1,60.03,0.00,3.94
2,60.55,0.00,3.99
3,60.09,0.00,3.96
4,59.22,0.00,3.96
5,60.29,0.00,3.96
6,60.88,0.00,3.97
7,60.79,0.00,3.95
8,59.44,0.00,3.97
9,60.34,0.00,3.99
10,60.46,0.00,3.96
11,59.06,0.00,3.95
12,60.17,0.00,3.95
13,60.69,0.00,3.96
14,60.70,0.00,3.96
15,60.48,0.00,4.01
16,59.95,0.00,3.94
17,60.56,0.00,3.97
18,60.39,0.00,3.99
19,60.11,0.00,3.94
20,60.29,0.00,3.96
21,61.03,0.00,3.97
22,60.38,0.00,3.95
23,59.46,0.00,3.95
24,60.73,0.00,3.97
25,60.62,0.00,3.97
26,60.74,0.03,3.97
27,59.62,0.02,3.96
28,60.15,0.06,3.96
29,60.40,0.01,3.94
30,60.02,0.04,3.96
31,59.04,0.04,3.97
32,60.06,0.04,3.97
33,60.28,0.02,3.99
34,61.07,0.06,3.95
35,58.92,0.09,3.97
36,60.28,0.11,3.95
37,60.44,0.03,3.99
38,60.15,0.07,3.96
39,59.67,0.03,3.97
40,60.71,0.05,3.98
41,59.04,0.05,3.94
42,60.36,0.06,3.95
43,60.11,0.07,3.97
44,59.34,0.07,3.95
45,59.85,0.10,3.97
46,60.23,0.10,3.98
47,61.01,0.12,3.98
48,60.44,0.08,3.97
49,60.09,0.14,3.98
50,59.61,0.09,3.98
51,59.88,0.09,3.96
52,60.54,0.15,3.96
53,59.61,0.14,3.95
54,60.78,0.07,3.99
55,60.62,0.12,4.00
56,59.87,0.09,3.95
57,59.92,0.17,3.96
58,61.19,0.14,3.96
59,59.82,0.09,3.94
60,60.28,0.11,3.97
61,59.87,0.12,3.98
62,59.53,0.10,3.97
63,60.80,0.13,3.96
64,60.00,0.05,3.96
65,60.79,0.08,3.97
66,61.43,0.17,3.94
67,60.00,0.13,3.99
68,59.29,0.10,3.95
69,60.31,0.05,3.95
70,60.45,0.13,3.95
71,60.08,0.17,3.97
72,60.28,0.16,3.93
73,60.09,0.18,3.97
74,60.08,0.14,3.94
75,60.10,0.20,3.94
76,60.66,0.11,3.97
77,60.19,0.16,3.97
78,59.81,0.17,3.94
79,60.40,0.26,4.00
80,60.06,0.19,3.94
81,60.65,0.30,3.95
82,59.50,0.15,3.97
83,59.79,0.21,3.97
84,60.22,0.12,3.98
85,60.34,0.16,3.96
86,60.18,0.22,3.96
87,60.55,0.13,3.96
88,59.82,0.20,3.93
89,59.65,0.18,4.00
90,59.18,0.22,3.96
91,59.88,0.22,3.97
92,60.41,0.16,3.97
93,60.47,0.16,3.93
94,59.80,0.18,3.95
95,60.34,0.21,3.95
96,60.71,0.18,3.95
97,60.42,0.13,3.96
98,59.75,0.17,3.96
99,59.68,0.19,3.98
100,60.61,0.23,3.97
101,60.41,0.19,3.94
102,59.24,0.12,3.93
103,59.84,0.25,3.96
104,59.76,0.24,3.98
105,60.04,0.26,4.01
106,59.89,0.28,3.97
107,59.91,0.30,3.97
108,60.52,0.27,3.96
109,60.08,0.24,3.97
110,59.31,0.24,3.93
111,60.23,0.24,3.96
112,60.59,0.22,3.97
113,59.57,0.24,3.93
114,60.50,0.21,3.94
115,61.21,0.23,3.94
116,60.25,0.25,3.96
117,60.84,0.14,3.98
118,60.20,0.27,3.97
119,60.21,0.22,3.96
120,60.41,0.15,3.96
121,59.31,0.27,3.94
122,60.64,0.25,3.97
123,60.53,0.23,3.93
124,59.00,0.53,3.95
125,60.65,0.54,3.95
126,58.79,0.76,3.97
127,59.75,0.82,3.95
128,59.53,0.86,3.95
129,59.73,0.86,3.96
130,59.86,1.01,3.94
131,59.79,1.01,3.98
132,60.09,0.97,3.97
133,59.06,0.83,3.95
134,60.57,0.81,3.95
135,59.26,1.02,3.94
136,59.43,0.91,3.95
137,59.63,0.91,4.02
138,60.12,0.96,3.97
139,59.51,1.05,3.95
140,59.64,0.94,3.95
141,59.11,0.92,3.97
142,59.51,0.93,3.94
143,60.34,1.08,3.97
144,60.22,0.83,3.98
145,59.57,0.93,3.92
146,59.84,1.02,3.98
147,59.97,0.88,3.96
148,59.17,1.02,4.00
149,58.85,1.09,3.96
150,59.64,0.93,3.98
